value	uses	family	L.fg	L.bg	L.ln	D.fg	D.bg	D.ln
#101a2a	3	neutral	#0c0c0c	#0c0c0c	#0c0c0c	#ffffff	#555555	#777777
#e4f3ec	3	neutral	#ffffff	#00cc05	#0c0c0c	#ffffff	#0c0c0c	#777777
#177a54	3	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#e7eff7	3	blue	#3c28bc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
#fbeedd	3	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#0c0c0c	#777777
#b4690e	3	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#10151b	3	neutral	#0c0c0c	#0c0c0c	#0c0c0c	#ffffff	#555555	#777777
#93a2b4	3	neutral	#0c0c0c	#555555	#0c0c0c	#b8b8b8	#777777	#777777
#d9821a	3	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#eaeff4	3	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#fdf9f0	3	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#0c0c0c	#777777
#f0f9ff	2	blue	#3c28bc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
#bae6fd	2	blue	#3c28bc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
#f0f2f5	2	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#c5d3e1	2	neutral	#555555	#555555	#0c0c0c	#777777	#777777	#777777
#9a6700	2	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#ede9f5	2	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#4a3a75	2	neutral	#0c0c0c	#555555	#0c0c0c	#ffffff	#777777	#777777
#8e7cc3	2	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#84e1bc	2	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#fafafa	2	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#7f1d1d	2	red	#0c0c0c	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#075985	2	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#e8f4ec	2	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#9a3412	2	red	#0c0c0c	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#f1f5f9	2	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#375623	2	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#7030a0	2	purple	#8d33cc	#8d33cc	#8d33cc	#ffffff	#8d33cc	#8d33cc
#1f3864	2	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#7f6000	2	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#a7d9bf	2	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#c7d0d8	2	neutral	#555555	#555555	#0c0c0c	#777777	#777777	#777777
#94a3b8	2	neutral	#0c0c0c	#555555	#0c0c0c	#b8b8b8	#777777	#777777
#000000	2	neutral	#0c0c0c	#0c0c0c	#0c0c0c	#ffffff	#555555	#777777
#c0392b	2	red	#ba1428	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#6b8e23	2	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#6d3bb5	2	purple	#8d33cc	#8d33cc	#8d33cc	#ffffff	#8d33cc	#8d33cc
#141d28	2	neutral	#0c0c0c	#0c0c0c	#0c0c0c	#ffffff	#555555	#777777
#f8e7e8	2	red	#ba1428	#ffffff	#0c0c0c	#ff0206	#0c0c0c	#777777
#bfd3e8	2	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#fbf0e1	2	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#0c0c0c	#777777
#e3b6ba	2	red	#ba1428	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#fdecec	2	red	#ba1428	#ff0206	#0c0c0c	#ff0206	#0c0c0c	#777777
#e1effe	2	blue	#3c28bc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
#1e429f	2	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#14532d	2	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#e3eaf0	2	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#fce7f3	2	purple	#8d33cc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
#9d174d	2	red	#0c0c0c	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#0c4a6e	1	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#b6d0e8	1	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#e5c98a	1	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#f3fbf7	1	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#e0f2fe	1	blue	#3c28bc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
#f7f8fa	1	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#f5f9ff	1	blue	#3c28bc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
#eda100	1	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#2a78d6	1	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#4a3aa7	1	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#8a94a3	1	neutral	#0c0c0c	#555555	#0c0c0c	#b8b8b8	#777777	#777777
#ffedd5	1	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#0c0c0c	#777777
#ffe4e6	1	red	#ba1428	#ff0206	#0c0c0c	#ff0206	#0c0c0c	#777777
#9f1239	1	red	#0c0c0c	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#6b21a8	1	purple	#8d33cc	#8d33cc	#8d33cc	#ffffff	#8d33cc	#8d33cc
#5b9bd5	1	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#843c0c	1	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#0f172a	1	neutral	#0c0c0c	#0c0c0c	#0c0c0c	#ffffff	#555555	#777777
#163a5c	1	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#e7eef6	1	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#7c1d1d	1	red	#0c0c0c	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#f3d2d2	1	red	#ba1428	#ff0206	#0c0c0c	#ff0206	#0c0c0c	#777777
#27ae60	1	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#8e44ad	1	purple	#8d33cc	#8d33cc	#8d33cc	#ffffff	#8d33cc	#8d33cc
#0e7490	1	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#be185d	1	red	#ba1428	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#fff4e0	1	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#0c0c0c	#777777
#b5e0c9	1	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#fbfcfd	1	neutral	#ffffff	#ffffff	#ffffff	#ffffff	#2a2a2a	#ffffff
#f3c7c7	1	red	#ba1428	#ff0206	#0c0c0c	#ff0206	#0c0c0c	#777777
#7a2e2e	1	red	#0c0c0c	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#eaf1f8	1	blue	#3c28bc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
#fbf1e1	1	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#0c0c0c	#777777
#1b4067	1	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#f0f6fc	1	blue	#3c28bc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
#eee7f8	1	purple	#8d33cc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
#f0b4b4	1	red	#ba1428	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#7a1f1f	1	red	#0c0c0c	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#9a5a5a	1	neutral	#0c0c0c	#555555	#0c0c0c	#b8b8b8	#777777	#777777
#e08c20	1	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#e7ecf2	1	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#a7d8c0	1	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#f4d9b0	1	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#fff7ed	1	amber	#0c0c0c	#ffffff	#0c0c0c	#ffe02c	#0c0c0c	#777777
#f5c2c2	1	red	#ba1428	#ff0206	#0c0c0c	#ff0206	#0c0c0c	#777777
#fbfdfe	1	neutral	#555555	#ffffff	#0c0c0c	#777777	#2a2a2a	#777777
